species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
135,sp3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,281,NA,NA,NA,"Tres Marias Is., Mexico",NA,NA,NA,NA,NA,NA,NA
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,332,NA,f,fasciata,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,353,NA,m,fasciata,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,386,NA,f,monilis,"California, USA",NA,NA,NA,NA,NA,NA,NA
136,sp3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,398,NA,m,monilis,"California, USA",NA,NA,NA,NA,NA,NA,NA
139,sp3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea,155,NA,NA,NA,Chad; Niger,NA,NA,NA,NA,NA,NA,NA
141,sp22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,146,10.3,f,NA,India,NA,NA,NA,NA,NA,NA,NA
141,sp22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,152,11.6,m,NA,India,NA,NA,NA,NA,NA,NA,NA
142,sp3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,159,11,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
143,sp3210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca,47.5,4.4,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,28.5,2.4,NA,exigua,"Mona Is., Puerto Rico",NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,32,2.5,NA,NA,Barbuda,NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,35.4,2.5,NA,portoricensis,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,36.4,4.5,NA,NA,Dominican Republic,NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,37,NA,NA,passerina,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,39.5,4.1,NA,NA,Cuba,NA,NA,NA,NA,NA,NA,NA
144,sp3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,40.3,2.2,NA,NA,St. Lucia,NA,NA,NA,NA,NA,NA,NA
146,sp3201,Ruddy Ground-Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,45.6,6.1,NA,NA,Venezuela,NA,NA,NA,NA,NA,NA,NA
146,sp3201,Ruddy Ground-Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,46.5,NA,NA,NA,Trinidad,NA,NA,NA,NA,NA,NA,NA
151,sp3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,134,NA,NA,tobagensis,Tobago,NA,NA,NA,NA,NA,NA,NA
151,sp3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,161,31.6,NA,NA,El Salvador,NA,NA,NA,NA,NA,NA,NA
157,sp3190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica,153,13.2,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
159,sp3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,115,1.8,f,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
159,sp3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,123,1.8,m,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
165,sp3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus,64,9.1,NA,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
166,sp3860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor,63.9,10.8,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
167,sp3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,50.9,7.3,NA,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
173,sp3850,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,376,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,92.6,NA,f,NA,Panama,NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,94.8,49.6,f,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,100,40.5,m,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,111,NA,m,NA,Panama,NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,121,20.8,m,NA,Caribbean Is.,NA,NA,NA,NA,NA,NA,NA
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,151,4.1,f,NA,Caribbean Is.,NA,NA,NA,NA,NA,NA,NA
175,sp3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,77.1,9.6,f,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
175,sp3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,87.3,4.1,m,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,35.4,1.9,NA,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,38.7,2.4,NA,NA,Western Mexico,NA,NA,NA,NA,NA,NA,NA
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,45.6,2.5,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
201,sp4230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica,23.6,NA,NA,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
202,sp4240,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,Chaetura,vauxi,17.1,1.3,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
206,sp4250,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Apodiformes,Apodidae,Aeronautes,saxatalis,32.1,2.5,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
219,sp4260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,6.4,0.5,f,NA,"Oaxaca, Mexico",NA,NA,NA,NA,NA,NA,NA
219,sp4260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,7.7,0.4,m,NA,"Oaxaca, Mexico",NA,NA,NA,NA,NA,NA,NA
219,sp4260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,8.4,0.3,f,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
219,sp4260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,9.9,0.3,m,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
224,sp4270,Blue-throated Hummingbird,Colibri à gorge bleue,Lampornis clemenciae,Apodiformes,Trochilidae,Lampornis,clemenciae,6.8,0.3,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,sp4270,Blue-throated Hummingbird,Colibri à gorge bleue,Lampornis clemenciae,Apodiformes,Trochilidae,Lampornis,clemenciae,8.4,0.2,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,sp4370,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,Apodiformes,Trochilidae,Calothorax,lucifer,3.3,NA,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
232,sp4280,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,Archilochus,colubris,2.9,0.2,m,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
232,sp4280,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,Archilochus,colubris,3.3,0.3,f,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
233,sp4290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri,3.2,0.4,m,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
233,sp4290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri,3.6,0.4,f,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
235,sp4310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,Calypte,anna,4,0.4,f,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
235,sp4310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,Calypte,anna,4.5,0.4,m,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
236,sp4300,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,Calypte,costae,3,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,sp4300,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,Calypte,costae,3.2,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,sp4320,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus,3.5,0.3,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
239,sp4320,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus,3.6,0.4,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
240,sp4330,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Apodiformes,Trochilidae,Selasphorus,rufus,3.5,NA,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
241,sp4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,3.1,NA,m,sasin,NA,NA,NA,NA,NA,NA,NA,NA
241,sp4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,3.2,NA,f,sasin,NA,NA,NA,NA,NA,NA,NA,NA
241,sp4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,3.5,NA,m,sedentarius,NA,NA,NA,NA,NA,NA,NA,NA
241,sp4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,3.7,NA,f,sedentarius,NA,NA,NA,NA,NA,NA,NA,NA
244,sp4360,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Apodiformes,Trochilidae,Selasphorus,calliope,2.5,NA,m,NA,NA,1,Stellula callipoe,NA,NA,NA,NA,NA
