"species_id","id","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
1033,"sp7360","Carolina Chickadee","Mésange de Caroline","Poecile carolinensis","Passeriformes","Paridae","Poecile","carolinensis"
1385,"sp6390","Worm-eating Warbler","Paruline vermivore","Helmitheros vermivorum","Passeriformes","Parulidae","Helmitheros","vermivorum"
1393,"sp6370","Prothonotary Warbler","Paruline orangée","Protonotaria citrea","Passeriformes","Parulidae","Protonotaria","citrea"
1394,"sp6380","Swainson's Warbler","Paruline de Swainson","Limnothlypis swainsonii","Passeriformes","Parulidae","Limnothlypis","swainsonii"
1431,"sp6630","Yellow-throated Warbler","Paruline à gorge jaune","Setophaga dominica","Passeriformes","Parulidae","Setophaga","dominica"
1454,"sp6100","Summer Tanager","Piranga vermillon","Piranga rubra","Passeriformes","Cardinalidae","Piranga","rubra"
1475,"sp5970","Blue Grosbeak","Guiraca bleu","Passerina caerulea","Passeriformes","Cardinalidae","Passerina","caerulea"
1295,"sp5750","Bachman's Sparrow","Bruant des pinèdes","Peucaea aestivalis","Passeriformes","Passerellidae","Peucaea","aestivalis"
1056,"sp7290","Brown-headed Nuthatch","Sittelle à tête brune","Sitta pusilla","Passeriformes","Sittidae","Sitta","pusilla"
749,"sp3950","Red-cockaded Woodpecker","Pic à face blanche","Dryobates borealis","Piciformes","Picidae","Dryobates","borealis"
640,"sp3290","Mississippi Kite","Milan du Mississippi","Ictinia mississippiensis","Accipitriformes","Accipitridae","Ictinia","mississippiensis"
144,"sp3200","Common Ground-Dove","Colombe à queue noire","Columbina passerina","Columbiformes","Columbidae","Columbina","passerina"
621,"sp3270","Swallow-tailed Kite","Naucler à queue fourchue","Elanoides forficatus","Accipitriformes","Accipitridae","Elanoides","forficatus"
1482,"sp6010","Painted Bunting","Passerin nonpareil","Passerina ciris","Passeriformes","Cardinalidae","Passerina","ciris"
905,"sp4450","Gray Kingbird","Tyran gris","Tyrannus dominicensis","Passeriformes","Tyrannidae","Tyrannus","dominicensis"
